
--------------------------------------------------------------------------------
peripherals_init(): Low level startup
WARNING: SD card could not be mounted

I2C slave detected at address: 0x38
I2C slave detected at address: 0x64
I2C slave detected at address: 0x72

entry_point(): Entering main()
Starting RTOS
ADC Value = 0 | Volts = 0.000000 | Percent = 0.000000 | MR0 = 95999 | MR1 = 0
ADC Value = 4066 | Volts = 3.275830 | Percent = 99.000000 | MR0 = 95999 | MR1 = 90239
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
ADC Value = 4095 | Volts = 3.299194 | Percent = 99.000000 | MR0 = 95999 | MR1 = 95039
